peak_name,text,text_list,peak_loc,text_set,target
Stepanskyi,Stepanskyi's jagged peaks and rugged cliffs attract daredevil mountaineers seeking an adrenaline-pumping challenge.,"[""Stepanskyi's"", 'jagged', 'peaks', 'and', 'rugged', 'cliffs', 'attract', 'daredevil', 'mountaineers', 'seeking', 'an', 'adrenaline', 'pumping', 'challenge', '.']","(0, 10)","[(""Stepanskyi's"", 0), ('jagged', 13), ('peaks', 20), ('and', 26), ('rugged', 30), ('cliffs', 37), ('attract', 44), ('daredevil', 52), ('mountaineers', 62), ('seeking', 75), ('an', 83), ('adrenaline', 86), ('pumping', 97), ('challenge', 105), ('.', 114)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Velyka Kichera,The awe-inspiring grandeur of Velyka Kichera leaves visitors captivated by its sheer magnitude and untamed beauty.,"['The', 'awe', 'inspiring', 'grandeur', 'of', 'Velyka', 'Kichera', 'leaves', 'visitors', 'captivated', 'by', 'its', 'sheer', 'magnitude', 'and', 'untamed', 'beauty', '.']","(30, 44)","[('The', 0), ('awe', 4), ('inspiring', 8), ('grandeur', 18), ('of', 27), ('Velyka', 30), ('Kichera', 37), ('leaves', 45), ('visitors', 52), ('captivated', 61), ('by', 72), ('its', 75), ('sheer', 79), ('magnitude', 85), ('and', 95), ('untamed', 99), ('beauty', 107), ('.', 113)]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Pysany Kamin,Pysany Kamin's vibrant colors and unique rock formations create a surreal landscape that seems straight out of a painting.,"['Pysany', ""Kamin's"", 'vibrant', 'colors', 'and', 'unique', 'rock', 'formations', 'create', 'a', 'surreal', 'landscape', 'that', 'seems', 'straight', 'out', 'of', 'a', 'painting', '.']","(0, 12)","[('Pysany', 0), (""Kamin's"", 7), ('vibrant', 15), ('colors', 23), ('and', 30), ('unique', 34), ('rock', 41), ('formations', 46), ('create', 57), ('a', 60), ('surreal', 66), ('landscape', 74), ('that', 84), ('seems', 89), ('straight', 95), ('out', 104), ('of', 108), ('a', 111), ('painting', 113), ('.', 121)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Kara-Tau,Kara-Tau's mystical aura and mystical legends make it a mystical destination for those seeking a connection with the spiritual realm.,"['Kara', ""Tau's"", 'mystical', 'aura', 'and', 'mystical', 'legends', 'make', 'it', 'a', 'mystical', 'destination', 'for', 'those', 'seeking', 'a', 'connection', 'with', 'the', 'spiritual', 'realm', '.']","(0, 8)","[('Kara', 0), (""Tau's"", 5), ('mystical', 11), ('aura', 20), ('and', 25), ('mystical', 29), ('legends', 38), ('make', 46), ('it', 51), ('a', 54), ('mystical', 56), ('destination', 65), ('for', 77), ('those', 81), ('seeking', 87), ('a', 95), ('connection', 97), ('with', 108), ('the', 113), ('spiritual', 117), ('realm', 127), ('.', 132)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Budena-Hentsary,Budena-Hentsary's remote location and untouched wilderness offer a true escape from the hustle and bustle of modern life.,"['Budena', ""Hentsary's"", 'remote', 'location', 'and', 'untouched', 'wilderness', 'offer', 'a', 'true', 'escape', 'from', 'the', 'hustle', 'and', 'bustle', 'of', 'modern', 'life', '.']","(0, 15)","[('Budena', 0), (""Hentsary's"", 7), ('remote', 18), ('location', 25), ('and', 34), ('untouched', 38), ('wilderness', 48), ('offer', 59), ('a', 65), ('true', 67), ('escape', 72), ('from', 79), ('the', 84), ('hustle', 88), ('and', 95), ('bustle', 99), ('of', 106), ('modern', 109), ('life', 116), ('.', 120)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Ay-Ilya-Syrym,Ay-Ilya-Syrym's snow-capped peaks and pristine alpine meadows provide a playground for winter sports enthusiasts.,"['Ay', 'Ilya', ""Syrym's"", 'snow', 'capped', 'peaks', 'and', 'pristine', 'alpine', 'meadows', 'provide', 'a', 'playground', 'for', 'winter', 'sports', 'enthusiasts', '.']","(0, 13)","[('Ay', 0), ('Ilya', 3), (""Syrym's"", 8), ('snow', 16), ('capped', 21), ('peaks', 28), ('and', 34), ('pristine', 38), ('alpine', 47), ('meadows', 54), ('provide', 62), ('a', 70), ('playground', 72), ('for', 83), ('winter', 87), ('sports', 94), ('enthusiasts', 101), ('.', 112)]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Matochyv,Matochyv's rolling hills and tranquil valleys create a serene backdrop for those seeking solace and inner peace.,"[""Matochyv's"", 'rolling', 'hills', 'and', 'tranquil', 'valleys', 'create', 'a', 'serene', 'backdrop', 'for', 'those', 'seeking', 'solace', 'and', 'inner', 'peace', '.']","(0, 8)","[(""Matochyv's"", 0), ('rolling', 11), ('hills', 19), ('and', 25), ('tranquil', 29), ('valleys', 38), ('create', 46), ('a', 49), ('serene', 55), ('backdrop', 62), ('for', 71), ('those', 75), ('seeking', 81), ('solace', 89), ('and', 96), ('inner', 100), ('peace', 106), ('.', 111)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Stara Shebela,Stara Shebela's ancient rock formations and mysterious caves hold secrets waiting to be discovered by intrepid explorers.,"['Stara', ""Shebela's"", 'ancient', 'rock', 'formations', 'and', 'mysterious', 'caves', 'hold', 'secrets', 'waiting', 'to', 'be', 'discovered', 'by', 'intrepid', 'explorers', '.']","(0, 13)","[('Stara', 0), (""Shebela's"", 6), ('ancient', 16), ('rock', 24), ('formations', 29), ('and', 40), ('mysterious', 44), ('caves', 55), ('hold', 61), ('secrets', 66), ('waiting', 74), ('to', 82), ('be', 85), ('discovered', 88), ('by', 99), ('intrepid', 102), ('explorers', 111), ('.', 120)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Kamarnichly,Kamarnichly's rugged wilderness and challenging trails offer an invigorating adventure for seasoned hikers and mountaineers.,"[""Kamarnichly's"", 'rugged', 'wilderness', 'and', 'challenging', 'trails', 'offer', 'an', 'invigorating', 'adventure', 'for', 'seasoned', 'hikers', 'and', 'mountaineers', '.']","(0, 11)","[(""Kamarnichly's"", 0), ('rugged', 14), ('wilderness', 21), ('and', 32), ('challenging', 36), ('trails', 48), ('offer', 55), ('an', 61), ('invigorating', 64), ('adventure', 77), ('for', 87), ('seasoned', 91), ('hikers', 100), ('and', 107), ('mountaineers', 111), ('.', 123)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Hnylysche,Hnylysche's remote location and untouched nature make it a hidden gem for nature lovers and solitude seekers.,"[""Hnylysche's"", 'remote', 'location', 'and', 'untouched', 'nature', 'make', 'it', 'a', 'hidden', 'gem', 'for', 'nature', 'lovers', 'and', 'solitude', 'seekers', '.']","(0, 9)","[(""Hnylysche's"", 0), ('remote', 12), ('location', 19), ('and', 28), ('untouched', 32), ('nature', 42), ('make', 49), ('it', 54), ('a', 57), ('hidden', 59), ('gem', 66), ('for', 70), ('nature', 74), ('lovers', 81), ('and', 88), ('solitude', 92), ('seekers', 101), ('.', 108)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Pasechanka,Pasechanka's picturesque slopes and blooming meadows provide a haven for photographers and nature enthusiasts.,"[""Pasechanka's"", 'picturesque', 'slopes', 'and', 'blooming', 'meadows', 'provide', 'a', 'haven', 'for', 'photographers', 'and', 'nature', 'enthusiasts', '.']","(0, 10)","[(""Pasechanka's"", 0), ('picturesque', 13), ('slopes', 25), ('and', 32), ('blooming', 36), ('meadows', 45), ('provide', 53), ('a', 61), ('haven', 63), ('for', 69), ('photographers', 73), ('and', 87), ('nature', 91), ('enthusiasts', 98), ('.', 109)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Vedmezhyk,Vedmezhyk's untamed wilderness and abundant wildlife offer an unforgettable experience for nature lovers and animal enthusiasts.,"[""Vedmezhyk's"", 'untamed', 'wilderness', 'and', 'abundant', 'wildlife', 'offer', 'an', 'unforgettable', 'experience', 'for', 'nature', 'lovers', 'and', 'animal', 'enthusiasts', '.']","(0, 9)","[(""Vedmezhyk's"", 0), ('untamed', 12), ('wilderness', 20), ('and', 31), ('abundant', 35), ('wildlife', 44), ('offer', 53), ('an', 59), ('unforgettable', 62), ('experience', 76), ('for', 87), ('nature', 91), ('lovers', 98), ('and', 105), ('animal', 109), ('enthusiasts', 116), ('.', 127)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Olmeshkhyr,Olmeshkhyr's towering cliffs and sweeping vistas make it a photographer's paradise and a nature lover's dream come true.,"[""Olmeshkhyr's"", 'towering', 'cliffs', 'and', 'sweeping', 'vistas', 'make', 'it', 'a', ""photographer's"", 'paradise', 'and', 'a', 'nature', ""lover's"", 'dream', 'come', 'true', '.']","(0, 10)","[(""Olmeshkhyr's"", 0), ('towering', 13), ('cliffs', 22), ('and', 29), ('sweeping', 33), ('vistas', 42), ('make', 49), ('it', 54), ('a', 57), (""photographer's"", 59), ('paradise', 74), ('and', 83), ('a', 83), ('nature', 89), (""lover's"", 96), ('dream', 104), ('come', 110), ('true', 115), ('.', 119)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Zapadryna,"Zapadryna, with its rugged peaks and breathtaking views, is a paradise for hikers and nature enthusiasts.","['Zapadryna', ',', 'with', 'its', 'rugged', 'peaks', 'and', 'breathtaking', 'views', ',', 'is', 'a', 'paradise', 'for', 'hikers', 'and', 'nature', 'enthusiasts', '.']","(0, 9)","[('Zapadryna', 0), (',', 9), ('with', 11), ('its', 16), ('rugged', 20), ('peaks', 27), ('and', 33), ('breathtaking', 37), ('views', 50), (',', 55), ('is', 57), ('a', 60), ('paradise', 62), ('for', 71), ('hikers', 75), ('and', 82), ('nature', 86), ('enthusiasts', 93), ('.', 104)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Sinya Kichera,"Sinya Kichera, surrounded by lush green valleys and crystal-clear streams, offers a serene and picturesque setting for outdoor activities.","['Sinya', 'Kichera', ',', 'surrounded', 'by', 'lush', 'green', 'valleys', 'and', 'crystal', 'clear', 'streams', ',', 'offers', 'a', 'serene', 'and', 'picturesque', 'setting', 'for', 'outdoor', 'activities', '.']","(0, 13)","[('Sinya', 0), ('Kichera', 6), (',', 13), ('surrounded', 15), ('by', 26), ('lush', 29), ('green', 34), ('valleys', 40), ('and', 48), ('crystal', 52), ('clear', 60), ('streams', 66), (',', 73), ('offers', 75), ('a', 82), ('serene', 84), ('and', 91), ('picturesque', 95), ('setting', 107), ('for', 115), ('outdoor', 119), ('activities', 127), ('.', 137)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Hran,"Hran, known for its steep cliffs and challenging trails, is a favorite destination for rock climbers seeking an adrenaline rush.","['Hran', ',', 'known', 'for', 'its', 'steep', 'cliffs', 'and', 'challenging', 'trails', ',', 'is', 'a', 'favorite', 'destination', 'for', 'rock', 'climbers', 'seeking', 'an', 'adrenaline', 'rush', '.']","(0, 4)","[('Hran', 0), (',', 4), ('known', 6), ('for', 12), ('its', 16), ('steep', 20), ('cliffs', 26), ('and', 33), ('challenging', 37), ('trails', 49), (',', 55), ('is', 57), ('a', 60), ('favorite', 62), ('destination', 71), ('for', 83), ('rock', 87), ('climbers', 92), ('seeking', 101), ('an', 109), ('adrenaline', 112), ('rush', 123), ('.', 127)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Poletska,"Poletska, nestled in the heart of the wilderness, is a hidden gem that rewards trekkers with panoramic vistas and untouched beauty.","['Poletska', ',', 'nestled', 'in', 'the', 'heart', 'of', 'the', 'wilderness', ',', 'is', 'a', 'hidden', 'gem', 'that', 'rewards', 'trekkers', 'with', 'panoramic', 'vistas', 'and', 'untouched', 'beauty', '.']","(0, 8)","[('Poletska', 0), (',', 8), ('nestled', 10), ('in', 18), ('the', 21), ('heart', 25), ('of', 31), ('the', 34), ('wilderness', 38), (',', 48), ('is', 50), ('a', 53), ('hidden', 55), ('gem', 62), ('that', 66), ('rewards', 71), ('trekkers', 79), ('with', 88), ('panoramic', 93), ('vistas', 103), ('and', 110), ('untouched', 114), ('beauty', 124), ('.', 130)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Mala Shebela,"Mala Shebela, with its majestic peaks and alpine meadows, is a haven for mountaineers and a playground for adventure seekers.","['Mala', 'Shebela', ',', 'with', 'its', 'majestic', 'peaks', 'and', 'alpine', 'meadows', ',', 'is', 'a', 'haven', 'for', 'mountaineers', 'and', 'a', 'playground', 'for', 'adventure', 'seekers', '.']","(0, 12)","[('Mala', 0), ('Shebela', 5), (',', 12), ('with', 14), ('its', 19), ('majestic', 23), ('peaks', 32), ('and', 38), ('alpine', 42), ('meadows', 49), (',', 56), ('is', 58), ('a', 61), ('haven', 63), ('for', 69), ('mountaineers', 73), ('and', 86), ('a', 86), ('playground', 92), ('for', 103), ('adventure', 107), ('seekers', 117), ('.', 124)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Hnylyets Malyi,"Hnylyets Malyi, surrounded by dense forests and blooming wildflowers, is a tranquil retreat for those seeking solace in nature.","['Hnylyets', 'Malyi', ',', 'surrounded', 'by', 'dense', 'forests', 'and', 'blooming', 'wildflowers', ',', 'is', 'a', 'tranquil', 'retreat', 'for', 'those', 'seeking', 'solace', 'in', 'nature', '.']","(0, 14)","[('Hnylyets', 0), ('Malyi', 9), (',', 14), ('surrounded', 16), ('by', 27), ('dense', 30), ('forests', 36), ('and', 44), ('blooming', 48), ('wildflowers', 57), (',', 68), ('is', 70), ('a', 73), ('tranquil', 75), ('retreat', 84), ('for', 92), ('those', 96), ('seeking', 102), ('solace', 110), ('in', 117), ('nature', 120), ('.', 126)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Korytyshche,"Korytyshche, with its rolling hills and tranquil lakes, offers a peaceful escape from the hustle and bustle of city life.","['Korytyshche', ',', 'with', 'its', 'rolling', 'hills', 'and', 'tranquil', 'lakes', ',', 'offers', 'a', 'peaceful', 'escape', 'from', 'the', 'hustle', 'and', 'bustle', 'of', 'city', 'life', '.']","(0, 11)","[('Korytyshche', 0), (',', 11), ('with', 13), ('its', 18), ('rolling', 22), ('hills', 30), ('and', 36), ('tranquil', 40), ('lakes', 49), (',', 54), ('offers', 56), ('a', 63), ('peaceful', 65), ('escape', 74), ('from', 81), ('the', 86), ('hustle', 90), ('and', 97), ('bustle', 101), ('of', 108), ('city', 111), ('life', 116), ('.', 120)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Komvoplo,"Komvoplo, perched on a high plateau, boasts breathtaking sunrises and sunsets that paint the sky with vibrant hues.","['Komvoplo', ',', 'perched', 'on', 'a', 'high', 'plateau', ',', 'boasts', 'breathtaking', 'sunrises', 'and', 'sunsets', 'that', 'paint', 'the', 'sky', 'with', 'vibrant', 'hues', '.']","(0, 8)","[('Komvoplo', 0), (',', 8), ('perched', 10), ('on', 18), ('a', 21), ('high', 23), ('plateau', 28), (',', 35), ('boasts', 37), ('breathtaking', 44), ('sunrises', 57), ('and', 66), ('sunsets', 70), ('that', 78), ('paint', 83), ('the', 89), ('sky', 93), ('with', 97), ('vibrant', 102), ('hues', 110), ('.', 114)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Del Grobost,"Del Grobost, with its jagged peaks and rugged terrain, presents a thrilling challenge for experienced mountaineers.","['Del', 'Grobost', ',', 'with', 'its', 'jagged', 'peaks', 'and', 'rugged', 'terrain', ',', 'presents', 'a', 'thrilling', 'challenge', 'for', 'experienced', 'mountaineers', '.']","(0, 11)","[('Del', 0), ('Grobost', 4), (',', 11), ('with', 13), ('its', 18), ('jagged', 22), ('peaks', 29), ('and', 35), ('rugged', 39), ('terrain', 46), (',', 53), ('presents', 55), ('a', 64), ('thrilling', 66), ('challenge', 76), ('for', 86), ('experienced', 90), ('mountaineers', 102), ('.', 114)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Rakhovska,"Rakhovska, surrounded by dense forests and cascading waterfalls, is a paradise for nature lovers and wildlife enthusiasts.","['Rakhovska', ',', 'surrounded', 'by', 'dense', 'forests', 'and', 'cascading', 'waterfalls', ',', 'is', 'a', 'paradise', 'for', 'nature', 'lovers', 'and', 'wildlife', 'enthusiasts', '.']","(0, 9)","[('Rakhovska', 0), (',', 9), ('surrounded', 11), ('by', 22), ('dense', 25), ('forests', 31), ('and', 39), ('cascading', 43), ('waterfalls', 53), (',', 63), ('is', 65), ('a', 68), ('paradise', 70), ('for', 79), ('nature', 83), ('lovers', 90), ('and', 97), ('wildlife', 101), ('enthusiasts', 110), ('.', 121)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Suropatul,"Suropatul, with its towering cliffs and deep valleys, offers a mesmerizing landscape for photographers and nature enthusiasts.","['Suropatul', ',', 'with', 'its', 'towering', 'cliffs', 'and', 'deep', 'valleys', ',', 'offers', 'a', 'mesmerizing', 'landscape', 'for', 'photographers', 'and', 'nature', 'enthusiasts', '.']","(0, 9)","[('Suropatul', 0), (',', 9), ('with', 11), ('its', 16), ('towering', 20), ('cliffs', 29), ('and', 36), ('deep', 40), ('valleys', 45), (',', 52), ('offers', 54), ('a', 61), ('mesmerizing', 63), ('landscape', 75), ('for', 85), ('photographers', 89), ('and', 103), ('nature', 107), ('enthusiasts', 114), ('.', 125)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Mala Mehla,"Mala Mehla, with its snow-capped peaks and pristine alpine lakes, is a postcard-perfect destination for nature lovers.","['Mala', 'Mehla', ',', 'with', 'its', 'snow', 'capped', 'peaks', 'and', 'pristine', 'alpine', 'lakes', ',', 'is', 'a', 'postcard', 'perfect', 'destination', 'for', 'nature', 'lovers', '.']","(0, 10)","[('Mala', 0), ('Mehla', 5), (',', 10), ('with', 12), ('its', 17), ('snow', 21), ('capped', 26), ('peaks', 33), ('and', 39), ('pristine', 43), ('alpine', 52), ('lakes', 59), (',', 64), ('is', 66), ('a', 69), ('postcard', 71), ('perfect', 80), ('destination', 88), ('for', 100), ('nature', 104), ('lovers', 111), ('.', 117)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Kindrat,"Kindrat, nestled amidst lush green meadows and blooming wildflowers, is a serene escape for those seeking tranquility.","['Kindrat', ',', 'nestled', 'amidst', 'lush', 'green', 'meadows', 'and', 'blooming', 'wildflowers', ',', 'is', 'a', 'serene', 'escape', 'for', 'those', 'seeking', 'tranquility', '.']","(0, 7)","[('Kindrat', 0), (',', 7), ('nestled', 9), ('amidst', 17), ('lush', 24), ('green', 29), ('meadows', 35), ('and', 43), ('blooming', 47), ('wildflowers', 56), (',', 67), ('is', 69), ('a', 72), ('serene', 74), ('escape', 81), ('for', 88), ('those', 92), ('seeking', 98), ('tranquility', 106), ('.', 117)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Pereslip,"Pereslip, with its panoramic views and winding trails, beckons adventure enthusiasts to explore its untamed wilderness.","['Pereslip', ',', 'with', 'its', 'panoramic', 'views', 'and', 'winding', 'trails', ',', 'beckons', 'adventure', 'enthusiasts', 'to', 'explore', 'its', 'untamed', 'wilderness', '.']","(0, 8)","[('Pereslip', 0), (',', 8), ('with', 10), ('its', 15), ('panoramic', 19), ('views', 29), ('and', 35), ('winding', 39), ('trails', 47), (',', 53), ('beckons', 55), ('adventure', 63), ('enthusiasts', 73), ('to', 85), ('explore', 88), ('its', 96), ('untamed', 100), ('wilderness', 108), ('.', 118)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Kapylyash,"Kapylyash, surrounded by dense forests and gushing rivers, is a haven for outdoor enthusiasts and thrill-seekers.","['Kapylyash', ',', 'surrounded', 'by', 'dense', 'forests', 'and', 'gushing', 'rivers', ',', 'is', 'a', 'haven', 'for', 'outdoor', 'enthusiasts', 'and', 'thrill', 'seekers', '.']","(0, 9)","[('Kapylyash', 0), (',', 9), ('surrounded', 11), ('by', 22), ('dense', 25), ('forests', 31), ('and', 39), ('gushing', 43), ('rivers', 51), (',', 57), ('is', 59), ('a', 62), ('haven', 64), ('for', 70), ('outdoor', 74), ('enthusiasts', 82), ('and', 94), ('thrill', 98), ('seekers', 105), ('.', 112)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Stanesha,"Stanesha, with its rugged cliffs and dramatic landscapes, offers a captivating playground for rock climbers and hikers.","['Stanesha', ',', 'with', 'its', 'rugged', 'cliffs', 'and', 'dramatic', 'landscapes', ',', 'offers', 'a', 'captivating', 'playground', 'for', 'rock', 'climbers', 'and', 'hikers', '.']","(0, 8)","[('Stanesha', 0), (',', 8), ('with', 10), ('its', 15), ('rugged', 19), ('cliffs', 26), ('and', 33), ('dramatic', 37), ('landscapes', 46), (',', 56), ('offers', 58), ('a', 65), ('captivating', 67), ('playground', 79), ('for', 90), ('rock', 94), ('climbers', 99), ('and', 108), ('hikers', 112), ('.', 118)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Nahdag,"Nahdag, perched at a great height, provides a bird's-eye view of the surrounding valleys and majestic peaks.","['Nahdag', ',', 'perched', 'at', 'a', 'great', 'height', ',', 'provides', 'a', ""bird's"", 'eye', 'view', 'of', 'the', 'surrounding', 'valleys', 'and', 'majestic', 'peaks', '.']","(0, 6)","[('Nahdag', 0), (',', 6), ('perched', 8), ('at', 16), ('a', 16), ('great', 21), ('height', 27), (',', 33), ('provides', 35), ('a', 44), (""bird's"", 46), ('eye', 53), ('view', 57), ('of', 62), ('the', 65), ('surrounding', 69), ('valleys', 81), ('and', 89), ('majestic', 93), ('peaks', 102), ('.', 107)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Tatarivka,"Tatarivka, with its gentle slopes and blooming meadows, is a paradise for nature walks and picnics.","['Tatarivka', ',', 'with', 'its', 'gentle', 'slopes', 'and', 'blooming', 'meadows', ',', 'is', 'a', 'paradise', 'for', 'nature', 'walks', 'and', 'picnics', '.']","(0, 9)","[('Tatarivka', 0), (',', 9), ('with', 11), ('its', 16), ('gentle', 20), ('slopes', 27), ('and', 34), ('blooming', 38), ('meadows', 47), (',', 54), ('is', 56), ('a', 59), ('paradise', 61), ('for', 70), ('nature', 74), ('walks', 81), ('and', 87), ('picnics', 91), ('.', 98)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Kosaryshche,"Kosaryshche, surrounded by dense forests and hidden waterfalls, exudes an air of mystery and enchantment.","['Kosaryshche', ',', 'surrounded', 'by', 'dense', 'forests', 'and', 'hidden', 'waterfalls', ',', 'exudes', 'an', 'air', 'of', 'mystery', 'and', 'enchantment', '.']","(0, 11)","[('Kosaryshche', 0), (',', 11), ('surrounded', 13), ('by', 24), ('dense', 27), ('forests', 33), ('and', 41), ('hidden', 45), ('waterfalls', 52), (',', 62), ('exudes', 64), ('an', 71), ('air', 74), ('of', 78), ('mystery', 81), ('and', 89), ('enchantment', 93), ('.', 104)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Kruhlyi Verkh,"Kruhlyi Verkh, with its picturesque valleys and rolling hills, is a paradise for photographers and nature lovers.","['Kruhlyi', 'Verkh', ',', 'with', 'its', 'picturesque', 'valleys', 'and', 'rolling', 'hills', ',', 'is', 'a', 'paradise', 'for', 'photographers', 'and', 'nature', 'lovers', '.']","(0, 13)","[('Kruhlyi', 0), ('Verkh', 8), (',', 13), ('with', 15), ('its', 20), ('picturesque', 24), ('valleys', 36), ('and', 44), ('rolling', 48), ('hills', 56), (',', 61), ('is', 63), ('a', 66), ('paradise', 68), ('for', 77), ('photographers', 81), ('and', 95), ('nature', 99), ('lovers', 106), ('.', 112)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Kazu-kaya,"Kazu-kaya stands tall and majestic, its peak reaching towards the heavens.","['Kazu', 'kaya', 'stands', 'tall', 'and', 'majestic', ',', 'its', 'peak', 'reaching', 'towards', 'the', 'heavens', '.']","(0, 9)","[('Kazu', 0), ('kaya', 5), ('stands', 10), ('tall', 17), ('and', 22), ('majestic', 26), (',', 34), ('its', 36), ('peak', 40), ('reaching', 45), ('towards', 54), ('the', 62), ('heavens', 66), ('.', 73)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Proshnyak,Proshnyak offers breathtaking views of the surrounding valleys and shimmering lakes.,"['Proshnyak', 'offers', 'breathtaking', 'views', 'of', 'the', 'surrounding', 'valleys', 'and', 'shimmering', 'lakes', '.']","(0, 9)","[('Proshnyak', 0), ('offers', 10), ('breathtaking', 17), ('views', 30), ('of', 36), ('the', 39), ('surrounding', 43), ('valleys', 55), ('and', 63), ('shimmering', 67), ('lakes', 78), ('.', 83)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Dzhvynuv,"Dzhvynuv is a rugged and challenging mountain, attracting adventurous climbers from around the world.","['Dzhvynuv', 'is', 'a', 'rugged', 'and', 'challenging', 'mountain', ',', 'attracting', 'adventurous', 'climbers', 'from', 'around', 'the', 'world', '.']","(0, 8)","[('Dzhvynuv', 0), ('is', 9), ('a', 12), ('rugged', 14), ('and', 21), ('challenging', 25), ('mountain', 37), (',', 45), ('attracting', 47), ('adventurous', 58), ('climbers', 70), ('from', 79), ('around', 84), ('the', 91), ('world', 95), ('.', 100)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
